1247	7	1	A	0
1247	7	1	B	0
1247	7	1	C	0
1247	7	1	D	0
1247	7	1	E	0
1247	7	2	A	0
1247	7	2	B	0
1247	7	2	C	0
1247	7	2	D	0
1247	7	2	E	0
1247	7	3	A	0
1247	7	3	B	0
1247	7	3	C	0
1247	7	3	D	0
1247	7	3	E	0
1247	7	4	A	0
1247	7	4	B	0
1247	7	4	C	0
1247	7	4	D	0
1247	7	4	E	0
1247	7	5	A	0
1247	7	5	B	0
1247	7	5	C	0
1247	7	5	D	0
1247	7	5	E	0
1247	7	6	A	0
1247	7	6	B	0
1247	7	6	C	0
1247	7	6	D	0
1247	7	6	E	0
1247	7	7	A	0
1247	7	7	B	0
1247	7	7	C	0
1247	7	7	D	0
1247	7	7	E	0
1247	7	8	A	0
1247	7	8	B	0
1247	7	8	C	0
1247	7	8	D	0
1247	7	8	E	0
1247	7	9	A	0
1247	7	9	B	0
1247	7	9	C	0
1247	7	9	D	0
1247	7	9	E	0
1247	7	10	A	0
1247	7	10	B	0
1247	7	10	C	0
1247	7	10	D	0
1247	7	10	E	0
1247	7	11	A	0
1247	7	11	B	0
1247	7	11	C	0
1247	7	11	D	0
1247	7	11	E	0
1247	7	12	A	0
1247	7	12	B	0
1247	7	12	C	0
1247	7	12	D	0
1247	7	12	E	0
1247	7	13	A	0
1247	7	13	B	0
1247	7	13	C	0
1247	7	13	D	0
1247	7	13	E	0
1247	7	14	A	0
1247	7	14	B	0
1247	7	14	C	0
1247	7	14	D	0
1247	7	14	E	0
1247	7	15	A	0
1247	7	15	B	0
1247	7	15	C	0
1247	7	15	D	0
1247	7	15	E	0
1247	7	16	A	0
1247	7	16	B	0
1247	7	16	C	0
1247	7	16	D	0
1247	7	16	E	0
