2	2411	2	8
2	2412	3	8
2	2413	4	8
2	2414	5	8
2	2415	6	8
2	2416	7	8
3	2475	2	8
3	2476	3	8
3	2477	4	8
3	2478	5	8
3	2479	6	8
3	2480	7	8
4	1899	2	8
4	1900	3	8
4	1901	4	8
4	1902	5	8
4	1903	6	8
4	1904	7	8
5	1963	2	8
5	1964	3	8
5	1965	4	8
5	1966	5	8
5	1967	6	8
5	1968	7	8
6	2027	2	8
6	2028	3	8
6	2029	4	8
6	2030	5	8
6	2031	6	8
6	2032	7	8
7	2091	2	8
7	2092	3	8
7	2093	4	8
7	2094	5	8
7	2095	6	8
7	2096	7	8
8	2155	2	8
8	2156	3	8
8	2157	4	8
8	2158	5	8
8	2159	6	8
8	2160	7	8
9	2219	2	8
9	2220	3	8
9	2221	4	8
9	2222	5	8
9	2223	6	8
9	2224	7	8
10	2283	2	8
10	2284	3	8
10	2285	4	8
10	2286	5	8
10	2287	6	8
10	2288	7	8
11	2347	2	8
11	2348	3	8
11	2349	4	8
11	2350	5	8
11	2351	6	8
11	2352	7	8
12	1779	2	8
12	1780	3	8
12	1781	4	8
12	1782	5	8
12	1783	6	8
12	1784	7	8
13	1843	2	8
13	1844	3	8
13	1845	4	8
13	1846	5	8
13	1847	6	8
13	1848	7	8
14	2419	2	8
14	2420	3	8
14	2421	4	8
14	2422	5	8
14	2423	6	8
14	2424	7	8
15	2483	2	8
15	2484	3	8
15	2485	4	8
15	2486	5	8
15	2487	6	8
15	2488	7	8
16	1907	2	8
16	1908	3	8
16	1909	4	8
16	1910	5	8
16	1911	6	8
16	1912	7	8
17	1971	2	8
17	1972	3	8
17	1973	4	8
17	1974	5	8
17	1975	6	8
17	1976	7	8
18	2035	2	8
18	2036	3	8
18	2037	4	8
18	2038	5	8
18	2039	6	8
18	2040	7	8
19	2099	2	8
19	2100	3	8
19	2101	4	8
19	2102	5	8
19	2103	6	8
19	2104	7	8
20	2163	2	8
20	2164	3	8
20	2165	4	8
